,Team,Round,HomeAway,FinalScore,Date,Day,Time,Venue,ActualCrowd,Season,Opposition,WinLoss,LadderPosition,Margin,OppLadderPosition,Last5
148,North Melbourne,9,Home,46,2022-05-14,Saturday,2,Bellerive Oval,5114,2022,Port Adelaide,Loss,17,-69,10,0
149,Port Adelaide,9,Away,115,2022-05-14,Saturday,2,Bellerive Oval,5114,2022,North Melbourne,Win,10,69,17,3
150,St Kilda,9,Home,90,2022-05-14,Saturday,5,Docklands,32517,2022,Geelong,Win,6,10,7,3
151,Geelong,9,Away,80,2022-05-14,Saturday,5,Docklands,32517,2022,St Kilda,Loss,7,-10,6,3
152,Sydney,9,Home,105,2022-05-14,Saturday,7,SCG,27464,2022,Essendon,Win,5,58,16,3
153,Essendon,9,Away,47,2022-05-14,Saturday,7,SCG,27464,2022,Sydney,Loss,16,-58,5,2
154,Adelaide,9,Home,66,2022-05-14,Saturday,7,Adelaide Oval,36579,2022,Brisbane Lions,Loss,14,-36,2,2
155,Brisbane Lions,9,Away,102,2022-05-14,Saturday,7,Adelaide Oval,36579,2022,Adelaide,Win,2,36,14,4
156,Gold Coast,9,Home,69,2022-05-15,Sunday,2,Carrara,6136,2022,Fremantle,Win,12,36,3,2
157,Fremantle,9,Away,33,2022-05-15,Sunday,2,Carrara,6136,2022,Gold Coast,Loss,3,-36,12,5
158,Greater Western Sydney,9,Home,75,2022-05-15,Sunday,3,Sydney Showground,8754,2022,Carlton,Loss,15,-30,4,1
159,Carlton,9,Away,105,2022-05-15,Sunday,3,Sydney Showground,8754,2022,Greater Western Sydney,Win,4,30,15,3
160,West Coast,9,Home,38,2022-05-15,Sunday,3,Perth Stadium,27488,2022,Melbourne,Loss,18,-74,1,1
161,Melbourne,9,Away,112,2022-05-15,Sunday,3,Perth Stadium,27488,2022,West Coast,Win,1,74,18,5
162,Carlton,10,Home,102,2022-05-20,Friday,8,Docklands,44769,2022,Sydney,Win,3,15,7,4
163,Sydney,10,Away,87,2022-05-20,Friday,8,Docklands,44769,2022,Carlton,Loss,7,-15,3,3
164,Western Bulldogs,10,Home,106,2022-05-21,Saturday,2,Eureka Stadium,6040,2022,Gold Coast,Win,9,19,12,3
165,Gold Coast,10,Away,87,2022-05-21,Saturday,2,Eureka Stadium,6040,2022,Western Bulldogs,Loss,12,-19,9,2
166,Geelong,10,Home,82,2022-05-21,Saturday,2,Kardinia Park,18721,2022,Port Adelaide,Win,6,35,11,2
167,Port Adelaide,10,Away,47,2022-05-21,Saturday,2,Kardinia Park,18721,2022,Geelong,Loss,11,-35,6,4
168,North Melbourne,10,Home,53,2022-05-21,Saturday,5,Docklands,13422,2022,Melbourne,Loss,17,-47,1,0
169,Melbourne,10,Away,100,2022-05-21,Saturday,5,Docklands,13422,2022,North Melbourne,Win,1,47,17,5
170,Adelaide,10,Home,69,2022-05-21,Saturday,7,Adelaide Oval,28783,2022,St Kilda,Loss,15,-21,5,2
171,St Kilda,10,Away,90,2022-05-21,Saturday,7,Adelaide Oval,28783,2022,Adelaide,Win,5,21,15,3
172,Richmond,10,Home,80,2022-05-21,Saturday,8,MCG,70226,2022,Essendon,Win,8,32,16,3
173,Essendon,10,Away,48,2022-05-21,Saturday,8,MCG,70226,2022,Richmond,Loss,16,-32,8,1
174,Greater Western Sydney,10,Home,138,2022-05-22,Sunday,2,Sydney Showground,5057,2022,West Coast,Win,14,52,18,1
175,West Coast,10,Away,86,2022-05-22,Sunday,2,Sydney Showground,5057,2022,Greater Western Sydney,Loss,18,-52,14,0
176,Hawthorn,10,Home,117,2022-05-22,Sunday,3,York Park,12007,2022,Brisbane Lions,Win,13,5,2,1
177,Brisbane Lions,10,Away,112,2022-05-22,Sunday,3,York Park,12007,2022,Hawthorn,Loss,2,-5,13,5
178,Fremantle,10,Home,44,2022-05-22,Sunday,3,Perth Stadium,35534,2022,Collingwood,Loss,4,-36,10,4
179,Collingwood,10,Away,80,2022-05-22,Sunday,3,Perth Stadium,35534,2022,Fremantle,Win,10,36,4,2
180,Sydney,11,Home,106,2022-05-27,Friday,8,SCG,31387,2022,Richmond,Win,7,6,9,2
181,Richmond,11,Away,100,2022-05-27,Friday,8,SCG,31387,2022,Sydney,Loss,9,-6,7,4
182,Geelong,11,Home,97,2022-05-28,Saturday,2,Kardinia Park,19051,2022,Adelaide,Win,6,42,15,3
183,Adelaide,11,Away,55,2022-05-28,Saturday,2,Kardinia Park,19051,2022,Geelong,Loss,15,-42,6,1
184,Brisbane Lions,11,Home,110,2022-05-28,Saturday,2,Gabba,22068,2022,Greater Western Sydney,Win,2,14,14,4
185,Greater Western Sydney,11,Away,96,2022-05-28,Saturday,2,Gabba,22068,2022,Brisbane Lions,Loss,14,-14,2,2
186,Melbourne,11,Home,56,2022-05-28,Saturday,5,MCG,29812,2022,Fremantle,Loss,1,-38,3,5
187,Fremantle,11,Away,94,2022-05-28,Saturday,5,MCG,29812,2022,Melbourne,Win,3,38,1,3
188,West Coast,11,Home,60,2022-05-28,Saturday,6,Perth Stadium,31838,2022,Western Bulldogs,Loss,18,-101,8,0
189,Western Bulldogs,11,Away,161,2022-05-28,Saturday,6,Perth Stadium,31838,2022,West Coast,Win,8,101,18,3
190,Gold Coast,11,Home,121,2022-05-28,Saturday,7,Marrara Oval,7516,2022,Hawthorn,Win,12,67,13,2
191,Hawthorn,11,Away,54,2022-05-28,Saturday,7,Marrara Oval,7516,2022,Gold Coast,Loss,13,-67,12,1
192,St Kilda,11,Home,103,2022-05-29,Sunday,1,Docklands,23464,2022,North Melbourne,Win,4,53,17,3
193,North Melbourne,11,Away,50,2022-05-29,Sunday,1,Docklands,23464,2022,St Kilda,Loss,17,-53,4,0
194,Collingwood,11,Home,79,2022-05-29,Sunday,3,MCG,80627,2022,Carlton,Win,10,4,5,3
195,Carlton,11,Away,75,2022-05-29,Sunday,3,MCG,80627,2022,Collingwood,Loss,5,-4,10,4
196,Port Adelaide,11,Home,66,2022-05-29,Sunday,4,Adelaide Oval,25877,2022,Essendon,Win,11,16,16,4
197,Essendon,11,Away,50,2022-05-29,Sunday,4,Adelaide Oval,25877,2022,Port Adelaide,Loss,16,-16,11,1
198,Western Bulldogs,12,Home,70,2022-06-03,Friday,8,Docklands,34370,2022,Geelong,Loss,9,-13,4,4
199,Geelong,12,Away,83,2022-06-03,Friday,8,Docklands,34370,2022,Western Bulldogs,Win,4,13,9,3
200,Adelaide,12,Home,88,2022-06-04,Saturday,1,Adelaide Oval,22859,2022,West Coast,Win,14,31,18,0
201,West Coast,12,Away,57,2022-06-04,Saturday,1,Adelaide Oval,22859,2022,Adelaide,Loss,18,-31,14,0
202,Gold Coast,12,Home,109,2022-06-04,Saturday,4,Marrara Oval,5523,2022,North Melbourne,Win,11,62,17,3
203,North Melbourne,12,Away,47,2022-06-04,Saturday,4,Marrara Oval,5523,2022,Gold Coast,Loss,17,-62,11,0
204,Melbourne,12,Home,61,2022-06-04,Saturday,7,MCG,32753,2022,Sydney,Loss,1,-12,6,4
205,Sydney,12,Away,73,2022-06-04,Saturday,7,MCG,32753,2022,Melbourne,Win,6,12,1,2
206,Hawthorn,12,Home,68,2022-06-05,Sunday,2,MCG,43939,2022,Collingwood,Loss,13,-4,8,1
207,Collingwood,12,Away,72,2022-06-05,Sunday,2,MCG,43939,2022,Hawthorn,Win,8,4,13,3
208,Fremantle,12,Home,99,2022-06-05,Sunday,3,Perth Stadium,47214,2022,Brisbane Lions,Win,3,14,2,3
209,Brisbane Lions,12,Away,85,2022-06-05,Sunday,3,Perth Stadium,47214,2022,Fremantle,Loss,2,-14,3,4
210,Richmond,13,Home,77,2022-06-09,Thursday,7,MCG,21757,2022,Port Adelaide,Win,9,12,12,4
211,Port Adelaide,13,Away,65,2022-06-09,Thursday,7,MCG,21757,2022,Richmond,Loss,12,-12,9,4
212,Essendon,13,Home,54,2022-06-10,Friday,8,MCG,65440,2022,Carlton,Loss,16,-26,4,1
213,Carlton,13,Away,80,2022-06-10,Friday,8,MCG,65440,2022,Essendon,Win,4,26,16,4
214,Fremantle,13,Home,95,2022-06-11,Saturday,2,Perth Stadium,39428,2022,Hawthorn,Win,3,13,14,3
215,Hawthorn,13,Away,82,2022-06-11,Saturday,2,Perth Stadium,39428,2022,Fremantle,Loss,14,-13,3,1
216,Brisbane Lions,13,Home,78,2022-06-11,Saturday,7,Gabba,26610,2022,St Kilda,Win,1,21,6,3
217,St Kilda,13,Away,57,2022-06-11,Saturday,7,Gabba,26610,2022,Brisbane Lions,Loss,6,-21,1,3
218,North Melbourne,13,Home,53,2022-06-12,Sunday,3,Docklands,13742,2022,Greater Western Sydney,Loss,17,-49,13,0
219,Greater Western Sydney,13,Away,102,2022-06-12,Sunday,3,Docklands,13742,2022,North Melbourne,Win,13,49,17,2
220,Collingwood,13,Home,82,2022-06-13,Monday,3,MCG,76059,2022,Melbourne,Win,8,26,2,3
221,Melbourne,13,Away,56,2022-06-13,Monday,3,MCG,76059,2022,Collingwood,Loss,2,-26,8,3
222,Richmond,14,Home,81,2022-06-16,Thursday,7,MCG,50741,2022,Carlton,Win,6,15,5,4
223,Carlton,14,Away,66,2022-06-16,Thursday,7,MCG,50741,2022,Richmond,Loss,5,-15,6,4
224,St Kilda,14,Home,72,2022-06-17,Friday,8,Docklands,33274,2022,Essendon,Loss,8,-35,16,3
225,Essendon,14,Away,107,2022-06-17,Friday,8,Docklands,33274,2022,St Kilda,Win,16,35,8,1
